Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Turmeric,2000,Whole Year ,Meghalaya,1523,8565,6258.8,149512.91,395.98,5.464285714
Wheat,2000,Rabi       ,Meghalaya,4215,6892,6258.8,413786.55,1095.9,1.395
Arecanut,2000,Whole Year ,Puducherry,65,130,1434.5875,6381.05,16.9,2
Bajra,2000,Kharif     ,Puducherry,186,513,1434.5875,18259.62,48.36,2.76
Banana,2000,Whole Year ,Puducherry,239,7532,1434.5875,23462.63,62.14,26.25
Black pepper,2000,Whole Year ,Puducherry,12,7,1434.5875,1178.04,3.12,0.58
Cashewnut,2000,Whole Year ,Puducherry,202,121,1434.5875,19830.34,52.52,0.603333333
Coconut ,2000,Whole Year ,Puducherry,2233,24698000,1434.5875,219213.61,580.58,11937.4475
Coriander,2000,Whole Year ,Puducherry,1,1,1434.5875,98.17,0.26,1
Cotton(lint),2000,Kharif     ,Puducherry,452,2300,1434.5875,44372.84,117.52,5.11
Dry chillies,2000,Whole Year ,Puducherry,10,33,1434.5875,981.7,2.6,2.6775
Ginger,2000,Kharif     ,Puducherry,227,117,1434.5875,22284.59,59.02,0.54
Groundnut,2000,Kharif     ,Puducherry,1175,2158,1434.5875,115349.75,305.5,1.62
Jowar,2000,Kharif     ,Puducherry,6,6,1434.5875,589.02,1.56,1
Moong(Green Gram),2000,Kharif     ,Puducherry,2480,1400,1434.5875,243461.6,644.8,0.586666667
Moong(Green Gram),2000,Rabi       ,Puducherry,2480,1400,1434.5875,243461.6,644.8,0.586666667
Onion,2000,Whole Year ,Puducherry,13,202,1434.5875,1276.21,3.38,15.54
Other  Rabi pulses,2000,Rabi       ,Puducherry,64,125,1434.5875,6282.88,16.64,1.18
Ragi,2000,Kharif     ,Puducherry,125,276,1434.5875,12271.25,32.5,2.21
Rapeseed &Mustard,2000,Rabi       ,Puducherry,63,452,1434.5875,6184.71,16.38,6.265
Rice,2000,Kharif     ,Puducherry,42779,103606,1434.5875,4199614.43,11122.54,2.605
Sugarcane,2000,Whole Year ,Puducherry,2464,200413,1434.5875,241890.88,640.64,81.17
Tapioca,2000,Whole Year ,Puducherry,342,9685,1434.5875,33574.14,88.92,18.69
Urad,2000,Kharif     ,Puducherry,3392,2123,1434.5875,332992.64,881.92,0.706666667
Urad,2000,Rabi       ,Puducherry,3392,2123,1434.5875,332992.64,881.92,0.706666667
Arecanut,2000,Whole Year ,West Bengal,7773,12191,1907.7,763075.41,2020.98,1.84
Arhar/Tur,2000,Kharif     ,West Bengal,8868,5930,1907.7,870571.56,2305.68,0.686153846
Bajra,2000,Kharif     ,West Bengal,313,256,1907.7,30727.21,81.38,0.8875
Barley,2000,Rabi       ,West Bengal,3471,1820,1907.7,340748.07,902.46,0.62
Castor seed,2000,Kharif     ,West Bengal,100,127,1907.7,9817,26,1.27
Coconut ,2000,Whole Year ,West Bengal,24511,330524800,1907.7,2406244.87,6372.86,13234.92556
Cotton(lint),2000,Kharif     ,West Bengal,1188,2732,1907.7,116625.96,308.88,2.3
Dry chillies,2000,Whole Year ,West Bengal,61498,54971,1907.7,6037258.66,15989.48,0.941111111
Ginger,2000,Kharif     ,West Bengal,9328,18898,1907.7,915729.76,2425.28,1.524444444
Gram,2000,Rabi       ,West Bengal,54685,50170,1907.7,5368426.45,14218.1,0.806428571
Groundnut,2000,Kharif     ,West Bengal,2020,1594,1907.7,198303.4,525.2,0.968333333
Groundnut,2000,Rabi       ,West Bengal,8513,12379,1907.7,835721.21,2213.38,1.37
Groundnut,2000,Summer     ,West Bengal,25741,39433,1907.7,2526993.97,6692.66,1.355625
Horse-gram,2000,Rabi       ,West Bengal,4311,2164,1907.7,423210.87,1120.86,0.49
Jowar,2000,Kharif     ,West Bengal,1016,521,1907.7,99740.72,264.16,0.578333333
Jute,2000,Kharif     ,West Bengal,612994,7428400,1907.7,60177620.98,159378.44,13.52411765
Khesari,2000,Rabi       ,West Bengal,40018,42090,1907.7,3928567.06,10404.68,1.001875
Linseed,2000,Rabi       ,West Bengal,11869,3972,1907.7,1165179.73,3085.94,0.460769231
Maize,2000,Kharif     ,West Bengal,35267,88264,1907.7,3462161.39,9169.42,2.568571429
Masoor,2000,Rabi       ,West Bengal,75994,68500,1907.7,7460330.98,19758.44,0.87625
Mesta,2000,Kharif     ,West Bengal,10891,83630,1907.7,1069169.47,2831.66,6.860833333
Moong(Green Gram),2000,Kharif     ,West Bengal,635,308,1907.7,62337.95,165.1,0.498571429
Moong(Green Gram),2000,Rabi       ,West Bengal,2410,1402,1907.7,236589.7,626.6,0.583636364
Moong(Green Gram),2000,Summer     ,West Bengal,8197,4809,1907.7,804699.49,2131.22,0.544666667
Niger seed,2000,Kharif     ,West Bengal,6874,3702,1907.7,674820.58,1787.24,0.405555556
Other Kharif pulses,2000,Kharif     ,West Bengal,825,409,1907.7,80990.25,214.5,0.548333333
Peas & beans (Pulses),2000,Rabi       ,West Bengal,7338,6111,1907.7,720371.46,1907.88,0.843333333
Potato,2000,Whole Year ,West Bengal,299664,7673130,1907.7,29418014.88,77912.64,22.39388889
Ragi,2000,Kharif     ,West Bengal,12651,15242,1907.7,1241948.67,3289.26,0.926
Rapeseed &Mustard,2000,Rabi       ,West Bengal,435998,417020,1907.7,42801923.66,113359.48,0.841666667
Rice,2000,Autumn     ,West Bengal,393944,683950,1907.7,38673482.48,102425.44,1.648333333
Rice,2000,Summer     ,West Bengal,1401841,4541328,1907.7,137618731,364478.66,3.021111111
Rice,2000,Winter     ,West Bengal,3639538,7202760,1907.7,357293445.5,946279.88,1.876111111
Safflower,2000,Rabi       ,West Bengal,29,9,1907.7,2846.93,7.54,0.3
Sannhamp,2000,Whole Year ,West Bengal,1519,7064,1907.7,149120.23,394.94,4.527142857
Sesamum,2000,Whole Year ,West Bengal,107161,92276,1907.7,10519995.37,27861.86,0.736111111
Small millets,2000,Kharif     ,West Bengal,3061,1625,1907.7,300498.37,795.86,0.682857143
Small millets,2000,Rabi       ,West Bengal,1285,1308,1907.7,126148.45,334.1,0.946666667
Soyabean,2000,Kharif     ,West Bengal,538,322,1907.7,52815.46,139.88,0.5775
Sugarcane,2000,Whole Year ,West Bengal,21609,1465550,1907.7,2121355.53,5618.34,67.08461538
Sunflower,2000,Kharif     ,West Bengal,246,156,1907.7,24149.82,63.96,1.276666667
Tobacco,2000,Whole Year ,West Bengal,10456,5703,1907.7,1026465.52,2718.56,0.598
Turmeric,2000,Whole Year ,West Bengal,13885,22445,1907.7,1363090.45,3610.1,1.536111111
Urad,2000,Kharif     ,West Bengal,56233,27815,1907.7,5520393.61,14620.58,0.462222222
Urad,2000,Rabi       ,West Bengal,13860,8813,1907.7,1360636.2,3603.6,0.612307692
Wheat,2000,Rabi       ,West Bengal,426000,1057610,1907.7,41820420,110760,2.330555556
Arecanut,2001,Whole Year ,Andhra Pradesh,268,449,928.4,27370.84,69.68,1.71
Arhar/Tur,2001,Kharif     ,Andhra Pradesh,414401,185620,928.4,42322774.13,107744.26,0.465
Arhar/Tur,2001,Rabi       ,Andhra Pradesh,5439,2706,928.4,555485.07,1414.14,0.46
Bajra,2001,Kharif     ,Andhra Pradesh,81851,63589,928.4,8359442.63,21281.26,0.851764706
Bajra,2001,Rabi       ,Andhra Pradesh,9684,7442,928.4,989026.92,2517.84,0.795
Banana,2001,Whole Year ,Andhra Pradesh,50507,761365,928.4,5158279.91,13131.82,11.73363636
Cashewnut,2001,Whole Year ,Andhra Pradesh,147370,38729,928.4,15050898.1,38316.2,0.236
Castor seed,2001,Kharif     ,Andhra Pradesh,283585,82983,928.4,28962536.05,73732.1,0.296842105
Coconut ,2001,Whole Year ,Andhra Pradesh,104244,1124969850,928.4,10646439.72,27103.44,9057.671111
Coriander,2001,Whole Year ,Andhra Pradesh,57913,22711,928.4,5914654.69,15057.38,0.531176471
Cotton(lint),2001,Kharif     ,Andhra Pradesh,1107852,1876698,928.4,113144924.8,288041.52,1.820454545
Dry chillies,2001,Kharif     ,Andhra Pradesh,170661,463307,928.4,17429607.93,44371.86,2.497272727
Dry chillies,2001,Rabi       ,Andhra Pradesh,54167,128104,928.4,5532075.71,14083.42,2.276363636
Ginger,2001,Whole Year ,Andhra Pradesh,2547,6263,928.4,260125.11,662.22,2.4375
Gram,2001,Kharif     ,Andhra Pradesh,91,101,928.4,9293.83,23.66,1.092857143
Gram,2001,Rabi       ,Andhra Pradesh,285086,363033,928.4,29115833.18,74122.36,1.419
Groundnut,2001,Kharif     ,Andhra Pradesh,1438665,817551,928.4,146930856.5,374052.9,0.83
Groundnut,2001,Rabi       ,Andhra Pradesh,252453,432682,928.4,25783024.89,65637.78,1.765454545
Horse-gram,2001,Kharif     ,Andhra Pradesh,11412,4417,928.4,1165507.56,2967.12,0.368888889
Horse-gram,2001,Rabi       ,Andhra Pradesh,68927,34846,928.4,7039514.51,17921.02,0.458095238
Jowar,2001,Kharif     ,Andhra Pradesh,299306,287310,928.4,30568121.78,77819.56,0.838095238
Jowar,2001,Rabi       ,Andhra Pradesh,340023,346741,928.4,34726548.99,88405.98,0.854090909
Linseed,2001,Rabi       ,Andhra Pradesh,5872,1419,928.4,599707.36,1526.72,0.218333333
Maize,2001,Kharif     ,Andhra Pradesh,337533,986011,928.4,34472245.29,87758.58,2.801818182
Maize,2001,Rabi       ,Andhra Pradesh,90752,470744,928.4,9268501.76,23595.52,5.592857143
Mesta,2001,Kharif     ,Andhra Pradesh,78942,671542,928.4,8062346.46,20524.92,8.370909091
Moong(Green Gram),2001,Kharif     ,Andhra Pradesh,338337,113312,928.4,34554357.81,87967.62,0.408636364
Moong(Green Gram),2001,Rabi       ,Andhra Pradesh,137698,42031,928.4,14063096.74,35801.48,0.351
Niger seed,2001,Kharif     ,Andhra Pradesh,19090,8017,928.4,1949661.7,4963.4,0.38
Onion,2001,Kharif     ,Andhra Pradesh,17736,234978,928.4,1811377.68,4611.36,12.74411765
Onion,2001,Rabi       ,Andhra Pradesh,14089,324477,928.4,1438909.57,3663.14,21.08136364
Other  Rabi pulses,2001,Rabi       ,Andhra Pradesh,13750,5012,928.4,1404287.5,3575,0.510666667
Other Kharif pulses,2001,Kharif     ,Andhra Pradesh,17331,4573,928.4,1770015.03,4506.06,0.314210526
Potato,2001,Whole Year ,Andhra Pradesh,2348,14653,928.4,239801.24,610.48,5.85
Ragi,2001,Kharif     ,Andhra Pradesh,68733,80097,928.4,7019701.29,17870.58,1.252666667
Ragi,2001,Rabi       ,Andhra Pradesh,12994,22707,928.4,1327077.22,3378.44,1.738
Rapeseed &Mustard,2001,Rabi       ,Andhra Pradesh,2452,790,928.4,250422.76,637.52,0.3275
Rice,2001,Kharif     ,Andhra Pradesh,2426073,6500545,928.4,247774835.5,630778.98,2.627272727
Rice,2001,Rabi       ,Andhra Pradesh,1398674,4889246,928.4,142846575.6,363655.24,3.025909091
Safflower,2001,Rabi       ,Andhra Pradesh,19728,5920,928.4,2014820.64,5129.28,0.303
Sesamum,2001,Kharif     ,Andhra Pradesh,92861,16651,928.4,9483893.93,24143.86,0.168095238
Sesamum,2001,Rabi       ,Andhra Pradesh,39475,10049,928.4,4031581.75,10263.5,0.283684211
Small millets,2001,Kharif     ,Andhra Pradesh,56370,33223,928.4,5757068.1,14656.2,0.469285714
Small millets,2001,Rabi       ,Andhra Pradesh,931,760,928.4,95083.03,242.06,0.732
Sugarcane,2001,Whole Year ,Andhra Pradesh,218298,18081889,928.4,22294774.74,56757.48,84.989
Sunflower,2001,Kharif     ,Andhra Pradesh,267613,219397,928.4,27331315.69,69579.38,0.986111111
Sweet potato,2001,Whole Year ,Andhra Pradesh,1945,25810,928.4,198642.85,505.7,14.05764706
Tapioca,2001,Whole Year ,Andhra Pradesh,17694,146361,928.4,1807088.22,4600.44,7.83
Tobacco,2001,Whole Year ,Andhra Pradesh,188936,418057,928.4,19296033.68,49123.36,2.97047619
Urad,2001,Kharif     ,Andhra Pradesh,107061,44570,928.4,10934139.93,27835.86,0.388095238
Urad,2001,Rabi       ,Andhra Pradesh,519831,338499,928.4,53090340.03,135156.06,0.439545455
Wheat,2001,Rabi       ,Andhra Pradesh,13793,9486,928.4,1408679.09,3586.18,0.6275
Arecanut,2001,Whole Year ,Assam,73223,69663,1824.7,7478264.99,19037.98,0.985652174
Arhar/Tur,2001,Kharif     ,Assam,7236,5125,1824.7,739012.68,1881.36,0.709130435
Banana,2001,Whole Year ,Assam,43600,606192,1824.7,4452868,11336,13.77652174
Castor seed,2001,Kharif     ,Assam,1636,671,1824.7,167084.68,425.36,0.42952381
Coconut ,2001,Whole Year ,Assam,21067,163597000,1824.7,2151572.71,5477.42,7700.721304
Cotton(lint),2001,Kharif     ,Assam,1882,860,1824.7,192208.66,489.32,0.443913043
Dry chillies,2001,Whole Year ,Assam,14732,9647,1824.7,1504579.16,3830.32,0.637826087
Gram,2001,Rabi       ,Assam,2463,1295,1824.7,251546.19,640.38,0.466190476
Jute,2001,Kharif     ,Assam,68178,674603,1824.7,6963019.14,17726.28,9.675652174
Linseed,2001,Rabi       ,Assam,9972,5114,1824.7,1018440.36,2592.72,0.505714286
Maize,2001,Kharif     ,Assam,19600,13940,1824.7,2001748,5096,0.608695652
Masoor,2001,Rabi       ,Assam,21308,11217,1824.7,2176186.04,5540.08,0.511904762
Mesta,2001,Kharif     ,Assam,4969,24484,1824.7,507483.97,1291.94,4.6045
Moong(Green Gram),2001,Rabi       ,Assam,8206,3740,1824.7,838078.78,2133.56,0.44173913
Niger seed,2001,Kharif     ,Assam,8914,4567,1824.7,910386.82,2317.64,0.532777778
Onion,2001,Whole Year ,Assam,7476,17453,1824.7,763523.88,1943.76,2.351304348
Other  Rabi pulses,2001,Rabi       ,Assam,108818,59768,1824.7,11113582.34,28292.68,0.529130435
Peas & beans (Pulses),2001,Rabi       ,Assam,24375,14305,1824.7,2489418.75,6337.5,0.587826087
Potato,2001,Whole Year ,Assam,80056,620571,1824.7,8176119.28,20814.56,7.350869565
Rapeseed &Mustard,2001,Rabi       ,Assam,272323,137056,1824.7,27812347.99,70803.98,0.479130435
Rice,2001,Autumn     ,Assam,495698,487719,1824.7,50625636.74,128881.48,1.120434783
Rice,2001,Summer     ,Assam,325987,653036,1824.7,33293052.31,84756.62,1.806521739
Rice,2001,Winter     ,Assam,1714736,2713493,1824.7,175125987.7,445831.36,1.600434783
Sesamum,2001,Kharif     ,Assam,14738,8054,1824.7,1505191.94,3831.88,0.489565217
Small millets,2001,Kharif     ,Assam,8480,4403,1824.7,866062.4,2204.8,0.49173913
Sugarcane,2001,Whole Year ,Assam,27166,1011398,1824.7,2774463.58,7063.16,37.2173913
Sweet potato,2001,Whole Year ,Assam,8343,28665,1824.7,852070.59,2169.18,3.326956522
Tapioca,2001,Whole Year ,Assam,2904,13710,1824.7,296585.52,755.04,4.384347826
Tobacco,2001,Whole Year ,Assam,1195,593,1824.7,122045.35,310.7,0.600434783
Turmeric,2001,Whole Year ,Assam,11812,8164,1824.7,1206359.56,3071.12,0.672173913
Urad,2001,Rabi       ,Assam,41785,23243,1824.7,4267502.05,10864.1,0.55173913
Wheat,2001,Rabi       ,Assam,72245,85300,1824.7,7378381.85,18783.7,1.185217391
Arecanut,2001,Whole Year ,Goa,1600,2500,2530.6,163408,416,1.56
Banana,2001,Whole Year ,Goa,2100,15482,2530.6,214473,546,7.37
Black pepper,2001,Whole Year ,Goa,573,100,2530.6,58520.49,148.98,0.17
Cashewnut,2001,Whole Year ,Goa,54060,22976,2530.6,5521147.8,14055.6,0.43
Coconut ,2001,Whole Year ,Goa,25025,125120000,2530.6,2555803.25,6506.5,4999.8
Groundnut,2001,Kharif     ,Goa,148,137,2530.6,15115.24,38.48,0.93
Groundnut,2001,Rabi       ,Goa,1515,2390,2530.6,154726.95,393.9,1.58
Other  Rabi pulses,2001,Rabi       ,Goa,8944,8085,2530.6,913450.72,2325.44,0.9
Other Kharif pulses,2001,Kharif     ,Goa,505,283,2530.6,51575.65,131.3,0.56
Ragi,2001,Kharif     ,Goa,315,315,2530.6,32170.95,81.9,1
Rice,2001,Kharif     ,Goa,32746,79071,2530.6,3344348.98,8513.96,2.41
Rice,2001,Rabi       ,Goa,16637,47452,2530.6,1699136.81,4325.62,2.85
Sugarcane,2001,Whole Year ,Goa,1205,70565,2530.6,123066.65,313.3,58.56
Arecanut,2001,Whole Year ,Karnataka,136065,182800,1002.9,13896318.45,35376.9,1.292
Arhar/Tur,2001,Kharif     ,Karnataka,482100,147437,1002.9,49236873,125346,0.37625
Bajra,2001,Kharif     ,Karnataka,208213,111091,1002.9,21264793.69,54135.38,0.510666667
Bajra,2001,Rabi       ,Karnataka,442,221,1002.9,45141.46,114.92,0.5
Bajra,2001,Summer     ,Karnataka,850,929,1002.9,86810.5,221,1.09
Black pepper,2001,Whole Year ,Karnataka,9699,22185,1002.9,990558.87,2521.74,2.213846154
Castor seed,2001,Kharif     ,Karnataka,21799,16137,1002.9,2226331.87,5667.74,0.704
Coconut ,2001,Whole Year ,Karnataka,369828,1503638000,1002.9,37770533.64,96155.28,4164.951481
Coriander,2001,Whole Year ,Karnataka,11307,1845,1002.9,1154783.91,2939.82,0.116818182
Cotton(lint),2001,Kharif     ,Karnataka,608479,612415,1002.9,62143960.27,158204.54,1.221428571
Dry chillies,2001,Whole Year ,Karnataka,193067,126395,1002.9,19717932.71,50197.42,1.082962963
Ginger,2001,Kharif     ,Karnataka,10677,140539,1002.9,1090442.01,2776.02,12.86277778
Gram,2001,Rabi       ,Karnataka,479703,281635,1002.9,48992067.39,124722.78,0.534090909
Groundnut,2001,Kharif     ,Karnataka,854741,585707,1002.9,87294698.33,222232.66,0.843846154
Horse-gram,2001,Kharif     ,Karnataka,155207,81931,1002.9,15851290.91,40353.82,0.5225
Horse-gram,2001,Rabi       ,Karnataka,188076,67105,1002.9,19208201.88,48899.76,0.3728
Jowar,2001,Kharif     ,Karnataka,303308,379303,1002.9,30976846.04,78860.08,1.202857143
Jowar,2001,Rabi       ,Karnataka,1481089,980378,1002.9,151263619.6,385083.14,0.604736842
Jowar,2001,Summer     ,Karnataka,6418,12385,1002.9,655470.34,1668.68,1.951538462
Linseed,2001,Rabi       ,Karnataka,19611,6581,1002.9,2002871.43,5098.86,0.329285714
Maize,2001,Kharif     ,Karnataka,505574,1274858,1002.9,51634272.62,131449.24,2.663333333
Maize,2001,Rabi       ,Karnataka,65189,152769,1002.9,6657752.57,16949.14,2.279
Maize,2001,Summer     ,Karnataka,9272,23960,1002.9,946949.36,2410.72,2.6265
Mesta,2001,Kharif     ,Karnataka,3668,5195,1002.9,374612.84,953.68,1.94375
Moong(Green Gram),2001,Kharif     ,Karnataka,251332,65336,1002.9,25668537.16,65346.32,0.31826087
Moong(Green Gram),2001,Rabi       ,Karnataka,7111,2090,1002.9,726246.43,1848.86,0.282941176
Niger seed,2001,Kharif     ,Karnataka,36198,7034,1002.9,3696901.74,9411.48,0.213043478
Onion,2001,Whole Year ,Karnataka,125815,721033,1002.9,12849485.95,32711.9,7.9108
Other  Rabi pulses,2001,Rabi       ,Karnataka,29824,3478,1002.9,3045925.12,7754.24,0.12037037
Other Kharif pulses,2001,Kharif     ,Karnataka,137310,42618,1002.9,14023470.3,35700.6,0.2764
Peas & beans (Pulses),2001,Whole Year ,Karnataka,6974,42197,1002.9,712254.62,1813.24,6.209444444
Potato,2001,Whole Year ,Karnataka,39156,473407,1002.9,3999002.28,10180.56,12.815
Ragi,2001,Kharif     ,Karnataka,903752,1478594,1002.9,92300191.76,234975.52,1.457368421
Ragi,2001,Rabi       ,Karnataka,40407,46560,1002.9,4126766.91,10505.82,1.212307692
Ragi,2001,Summer     ,Karnataka,9271,14154,1002.9,946847.23,2410.46,1.545833333
Rapeseed &Mustard,2001,Rabi       ,Karnataka,7063,1905,1002.9,721344.19,1836.38,0.221764706
Rice,2001,Kharif     ,Karnataka,1087967,2393946,1002.9,111114069.7,282871.42,2.154814815
Rice,2001,Rabi       ,Karnataka,53480,99699,1002.9,5461912.4,13904.8,1.840714286
Rice,2001,Summer     ,Karnataka,276277,740400,1002.9,28216170.01,71832.02,2.4368
Safflower,2001,Rabi       ,Karnataka,92029,72794,1002.9,9398921.77,23927.54,0.714666667
Sannhamp,2001,Whole Year ,Karnataka,2555,634,1002.9,260942.15,664.3,0.238333333
Sesamum,2001,Kharif     ,Karnataka,73064,27086,1002.9,7462026.32,18996.64,0.386
Small millets,2001,Kharif     ,Karnataka,70091,36856,1002.9,7158393.83,18223.66,0.609545455
Soyabean,2001,Kharif     ,Karnataka,48444,40217,1002.9,4947585.72,12595.44,0.808
Sugarcane,2001,Whole Year ,Karnataka,406950,33016618,1002.9,41561803.5,105807,84.00269231
Sunflower,2001,Kharif     ,Karnataka,124184,59516,1002.9,12682911.92,32287.84,0.520833333
Sunflower,2001,Rabi       ,Karnataka,418198,168890,1002.9,42710561.74,108731.48,0.556363636
Sunflower,2001,Summer     ,Karnataka,41936,34270,1002.9,4282923.68,10903.36,0.820526316
Turmeric,2001,Whole Year ,Karnataka,7058,36369,1002.9,720833.54,1835.08,4.797272727
Urad,2001,Kharif     ,Karnataka,150588,55626,1002.9,15379552.44,39152.88,0.347619048
Urad,2001,Rabi       ,Karnataka,11853,4448,1002.9,1210546.89,3081.78,0.347142857
Wheat,2001,Rabi       ,Karnataka,260486,198822,1002.9,26603435.18,67726.36,0.777333333
Arecanut,2001,Whole Year ,Kerala,93193,84679,2946.7,9517801.09,24230.18,0.772857143
Banana,2001,Whole Year ,Kerala,50871,375903,2946.7,5195455.23,13226.46,7.347857143
Black pepper,2001,Whole Year ,Kerala,203956,58240,2946.7,20830026.28,53028.56,0.214285714
Cardamom,2001,Whole Year ,Kerala,41336,8380,2946.7,4221645.68,10747.36,0.057272727
Cashewnut,2001,Whole Year ,Kerala,89718,65867,2946.7,9162899.34,23326.68,0.525
Coconut ,2001,Whole Year ,Kerala,905718,5479000000,2946.7,92500979.34,235486.68,5636.355
Cotton(lint),2001,Kharif     ,Kerala,3760,6069,2946.7,384008.8,977.6,1.61
Garlic,2001,Whole Year ,Kerala,293,4981,2946.7,29924.09,76.18,17
Ginger,2001,Whole Year ,Kerala,10706,40181,2946.7,1093403.78,2783.56,3.167857143
Groundnut,2001,Kharif     ,Kerala,2437,1812,2946.7,248890.81,633.62,0.74
Jowar,2001,Kharif     ,Kerala,2902,1478,2946.7,296381.26,754.52,0.4025
Ragi,2001,Kharif     ,Kerala,1947,1575,2946.7,198847.11,506.22,0.766666667
Rice,2001,Autumn     ,Kerala,116540,235838,2946.7,11902230.2,30300.4,1.886923077
Rice,2001,Summer     ,Kerala,43850,105032,2946.7,4478400.5,11401,2.151428571
Rice,2001,Winter     ,Kerala,161978,362634,2946.7,16542813.14,42114.28,2.153571429
Sesamum,2001,Kharif     ,Kerala,878,284,2946.7,89670.14,228.28,0.325
Sugarcane,2001,Whole Year ,Kerala,3267,269780,2946.7,333658.71,849.42,88.77583333
Sweet potato,2001,Whole Year ,Kerala,747,8672,2946.7,76291.11,194.22,11.49153846
Tapioca,2001,Whole Year ,Kerala,111189,2455880,2946.7,11355732.57,28909.14,23.09642857
Tobacco,2001,Whole Year ,Kerala,71,395,2946.7,7251.23,18.46,5.56
Turmeric,2001,Whole Year ,Kerala,3558,7895,2946.7,363378.54,925.08,2.066428571
Arecanut,2001,Whole Year ,Meghalaya,11128,14101,4241,1136502.64,2893.28,1.185714286
Arhar/Tur,2001,Kharif     ,Meghalaya,818,631,4241,83542.34,212.68,0.793333333
Castor seed,2001,Kharif     ,Meghalaya,25,13,4241,2553.25,6.5,0.5
Cotton(lint),2001,Kharif     ,Meghalaya,7323,7873,4241,747897.99,1903.98,1.05
Dry chillies,2001,Whole Year ,Meghalaya,1825,1158,4241,186387.25,474.5,0.655714286
Ginger,2001,Kharif     ,Meghalaya,8897,36590,4241,908650.61,2313.22,5.837142857
Gram,2001,Rabi       ,Meghalaya,489,299,4241,49941.57,127.14,0.583333333
Jute,2001,Kharif     ,Meghalaya,4061,25057,4241,414749.93,1055.86,6.236666667
Maize,2001,Kharif     ,Meghalaya,16866,25247,4241,1722524.58,4385.16,1.471428571
Mesta,2001,Kharif     ,Meghalaya,4550,24526,4241,464691.5,1183,4.96
Potato,2001,Whole Year ,Meghalaya,18151,159032,4241,1853761.63,4719.26,7.288571429
Rapeseed &Mustard,2001,Rabi       ,Meghalaya,7156,4782,4241,730842.28,1860.56,0.581428571
Rice,2001,Kharif     ,Meghalaya,107761,188971,4241,11005630.93,28017.86,1.751428571
Sesamum,2001,Kharif     ,Meghalaya,1331,694,4241,135935.03,346.06,0.568571429
Small millets,2001,Kharif     ,Meghalaya,2720,2152,4241,277793.6,707.2,0.847142857
Soyabean,2001,Kharif     ,Meghalaya,981,939,4241,100189.53,255.06,0.912857143
Sugarcane,2001,Whole Year ,Meghalaya,83,226,4241,8476.79,21.58,2.278
Sweet potato,2001,Whole Year ,Meghalaya,4942,16627,4241,504726.46,1284.92,3.447142857
Tapioca,2001,Whole Year ,Meghalaya,3971,20637,4241,405558.23,1032.46,6.401428571
Tobacco,2001,Whole Year ,Meghalaya,728,480,4241,74350.64,189.28,0.562
Turmeric,2001,Whole Year ,Meghalaya,1523,8577,4241,155543.99,395.98,5.511428571
Wheat,2001,Rabi       ,Meghalaya,2753,4812,4241,281163.89,715.78,1.455
Arecanut,2001,Whole Year ,Puducherry,65,137,1434.5875,6638.45,16.9,2.11
Bajra,2001,Kharif     ,Puducherry,162,345,1434.5875,16545.06,42.12,2.13
Banana,2001,Whole Year ,Puducherry,225,7461,1434.5875,22979.25,58.5,25.375
Black pepper,2001,Whole Year ,Puducherry,12,11,1434.5875,1225.56,3.12,0.92
Cashewnut,2001,Whole Year ,Puducherry,191,134,1434.5875,19506.83,49.66,1.063333333
Coconut ,2001,Whole Year ,Puducherry,2282,22204000,1434.5875,233060.66,593.32,9725.08
Coriander,2001,Whole Year ,Puducherry,2,1,1434.5875,204.26,0.52,0.5
Cotton(lint),2001,Kharif     ,Puducherry,575,2965,1434.5875,58724.75,149.5,5.23
Ginger,2001,Kharif     ,Puducherry,171,89,1434.5875,17464.23,44.46,0.375
Groundnut,2001,Kharif     ,Puducherry,1229,1915,1434.5875,125517.77,319.54,1.195
Moong(Green Gram),2001,Rabi       ,Puducherry,544,105,1434.5875,55558.72,141.44,0.236666667
Onion,2001,Whole Year ,Puducherry,16,251,1434.5875,1634.08,4.16,15.69
Other  Rabi pulses,2001,Rabi       ,Puducherry,116,91,1434.5875,11847.08,30.16,0.68
Ragi,2001,Kharif     ,Puducherry,138,325,1434.5875,14093.94,35.88,2.36
Rapeseed &Mustard,2001,Rabi       ,Puducherry,71,530,1434.5875,7251.23,18.46,6.345
Rice,2001,Kharif     ,Puducherry,26263,66868,1434.5875,2682240.19,6828.38,2.415
Sugarcane,2001,Whole Year ,Puducherry,2117,197412,1434.5875,216209.21,550.42,91.64
Tapioca,2001,Whole Year ,Puducherry,464,15540,1434.5875,47388.32,120.64,21.5
Urad,2001,Rabi       ,Puducherry,811,267,1434.5875,82827.43,210.86,0.423333333
Arecanut,2001,Whole Year ,West Bengal,9276,14885,1556.6,947357.88,2411.76,1.861764706
Arhar/Tur,2001,Kharif     ,West Bengal,3938,3268,1556.6,402187.94,1023.88,0.816923077
Bajra,2001,Kharif     ,West Bengal,425,322,1556.6,43405.25,110.5,0.855
Barley,2001,Rabi       ,West Bengal,2622,2825,1556.6,267784.86,681.72,1.0675
Cardamom,2001,Whole Year ,West Bengal,2875,704,1556.6,293623.75,747.5,0.24
Castor seed,2001,Kharif     ,West Bengal,80,73,1556.6,8170.4,20.8,0.91
Coconut ,2001,Whole Year ,West Bengal,38404,331603800,1556.6,3922200.52,9985.04,12368.60944
